time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,Referrals,Referrals_rate,Re_referrals,Re_referrals_percent,No_Further_Action,No_Further_Action_percent,Not_in_Need,Not_in_Need_percent,Referrals_child,Referrals_child_rate,Re_referrals_child,Re_referrals_child_percent
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Referrals and Re-referrals,1752,440.8,288,16.4,62,3.5,487,27.8,1601,402.8,267,16.7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Referrals and Re-referrals,2407,865.5,561,23.3,0,0,741,30.8,2143,770.6,463,21.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Referrals and Re-referrals,5542,776.3,1423,25.7,835,15.1,543,9.8,4782,669.8,1122,23.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Referrals and Re-referrals,3239,740.3,1104,34.1,417,12.9,663,20.5,2704,618,890,32.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Referrals and Re-referrals,2397,305.7,339,14.1,135,5.6,602,25.1,2179,277.9,302,13.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Referrals and Re-referrals,3370,485.4,663,19.7,369,10.9,1073,31.8,3012,433.8,572,19
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Referrals and Re-referrals,2989,330.7,658,22,305,10.2,834,27.9,2712,300.1,563,20.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Referrals and Re-referrals,1782,647.2,374,21,67,3.8,557,31.3,1617,587.2,318,19.7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Referrals and Re-referrals,1112,328.6,173,15.6,9,0.8,215,19.3,1045,308.8,151,14.4
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Referrals and Re-referrals,7080,282.5,1037,14.6,356,5,2162,30.5,6508,259.6,930,14.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Referrals and Re-referrals,4158,448.5,1003,24.1,600,14.4,1207,29,3706,399.8,874,23.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Referrals and Re-referrals,7279,575,1418,19.5,642,8.8,707,9.7,6537,516.3,1235,18.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Referrals and Re-referrals,5708,924.4,1585,27.8,213,3.7,1331,23.3,4950,801.6,1303,26.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Referrals and Re-referrals,3887,711,897,23.1,238,6.1,510,13.1,3491,638.6,786,22.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Referrals and Re-referrals,4193,714.9,881,21,27,0.6,1717,40.9,3715,633.4,743,20
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Referrals and Re-referrals,4360,822.6,1156,26.5,41,0.9,1696,38.9,3828,722.2,980,25.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Referrals and Re-referrals,2552,695.7,594,23.3,223,8.7,1017,39.9,2238,610.1,518,23.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Referrals and Re-referrals,3233,517.2,720,22.3,127,3.9,813,25.1,2918,466.8,632,21.7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Referrals and Re-referrals,3349,654.9,913,27.3,60,1.8,1732,51.7,2970,580.8,782,26.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Referrals and Re-referrals,1983,362.2,395,19.9,130,6.6,394,19.9,1773,323.8,338,19.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Referrals and Re-referrals,1808,420,333,18.4,c,c,399,22.1,1680,390.3,292,17.4
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Referrals and Re-referrals,5181,761.6,1227,23.7,349,6.7,1485,28.7,4632,680.9,1043,22.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Referrals and Re-referrals,3355,512.4,781,23.3,218,6.5,1052,31.4,2985,455.9,665,22.3
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Referrals and Re-referrals,3042,607.4,585,19.2,95,3.1,857,28.2,2725,544.1,505,18.5
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Referrals and Re-referrals,9193,654.3,2069,22.5,177,1.9,3148,34.2,8304,591,1779,21.4
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Referrals and Re-referrals,2493,553.6,509,20.4,7,0.3,580,23.3,2211,491,434,19.6
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Referrals and Re-referrals,5033,785.2,1269,25.2,358,7.1,2108,41.9,4305,671.6,1025,23.8
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Referrals and Re-referrals,2308,375.3,410,17.8,0,0,118,5.1,2116,344.1,365,17.2
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Referrals and Re-referrals,4889,828,1022,20.9,164,3.4,1352,27.7,4314,730.6,867,20.1
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Referrals and Re-referrals,3586,366.8,632,17.6,164,4.6,646,18,3269,334.4,569,17.4
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Referrals and Re-referrals,10950,642,3071,28,1598,14.6,4865,44.4,9496,556.7,2477,26.1
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Referrals and Re-referrals,3101,939.2,927,29.9,0,0,702,22.6,2652,803.2,735,27.7
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Referrals and Re-referrals,1757,515.7,274,15.6,0,0,798,45.4,1617,474.7,248,15.3
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Referrals and Re-referrals,4998,439.1,851,17,7,0.1,1060,21.2,4545,399.3,741,16.3
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Referrals and Re-referrals,3110,551.9,515,16.6,37,1.2,1049,33.7,2877,510.6,457,15.9
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Referrals and Re-referrals,5256,468,1079,20.5,421,8,536,10.2,4826,429.7,996,20.6
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Referrals and Re-referrals,4385,595.1,947,21.6,32,0.7,1594,36.4,3939,534.6,816,20.7
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Referrals and Re-referrals,1691,487.7,358,21.2,206,12.2,181,10.7,1500,432.6,316,21.1
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Referrals and Re-referrals,4094,698.7,855,20.9,508,12.4,1105,27,3671,626.5,729,19.9
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Referrals and Re-referrals,11031,727.7,2939,26.6,427,3.9,3778,34.2,9337,616,2398,25.7
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Referrals and Re-referrals,3098,357.5,439,14.2,585,18.9,796,25.7,2840,327.7,396,13.9
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Referrals and Re-referrals,5316,377.8,1223,23,442,8.3,990,18.6,4653,330.7,1004,21.6
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Referrals and Re-referrals,7109,492.9,1538,21.6,872,12.3,2513,35.3,6319,438.1,1288,20.4
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Referrals and Re-referrals,4979,628.8,1458,29.3,783,15.7,2119,42.6,4196,529.9,1114,26.5
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Referrals and Re-referrals,5692,863.6,1398,24.6,243,4.3,2937,51.6,4948,750.7,1166,23.6
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Referrals and Re-referrals,8866,542.7,2196,24.8,0,0,4913,55.4,7789,476.8,1853,23.8
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Referrals and Re-referrals,224,279.7,42,18.8,35,15.6,43,19.2,201,251,35,17.4
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Referrals and Re-referrals,5185,563.5,1372,26.5,911,17.6,2019,38.9,4448,483.4,1077,24.2
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Referrals and Re-referrals,17661,616.7,3482,19.7,344,1.9,9116,51.6,15787,551.2,2975,18.8
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Referrals and Re-referrals,4925,644.9,939,19.1,c,c,1614,32.8,4460,584,824,18.5
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Referrals and Re-referrals,3130,457.3,587,18.8,c,c,327,10.4,2871,419.5,519,18.1
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Referrals and Re-referrals,1569,464.3,c,c,0,0,65,4.1,1569,464.3,c,c
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Referrals and Re-referrals,4205,495.5,964,22.9,6,0.1,887,21.1,3706,436.7,819,22.1
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Referrals and Re-referrals,1736,297.1,267,15.4,69,4,243,14,1583,270.9,240,15.2
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Referrals and Re-referrals,3799,809.5,926,24.4,88,2.3,1728,45.5,3307,704.7,791,23.9
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Referrals and Re-referrals,5400,319.6,711,13.2,364,6.7,1308,24.2,5067,299.8,654,12.9
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Referrals and Re-referrals,5410,926.7,1179,21.8,51,0.9,2050,37.9,4823,826.2,1022,21.2
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Referrals and Re-referrals,2247,542.5,401,17.8,68,3,701,31.2,2025,488.9,337,16.6
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Referrals and Re-referrals,3450,505.3,822,23.8,282,8.2,1706,49.4,3060,448.2,690,22.5
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Referrals and Re-referrals,5379,449.7,1097,20.4,11,0.2,2717,50.5,4874,407.5,979,20.1
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Referrals and Re-referrals,3937,635.4,834,21.2,c,c,1578,40.1,3517,567.6,713,20.3
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Referrals and Re-referrals,5331,452.4,1040,19.5,219,4.1,1711,32.1,4800,407.3,912,19
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Referrals and Re-referrals,1575,379.5,236,15,242,15.4,394,25,1441,347.2,199,13.8
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Referrals and Re-referrals,4515,337.6,888,19.7,489,10.8,1188,26.3,4050,302.8,726,17.9
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Referrals and Re-referrals,2240,349.4,511,22.8,0,0,989,44.2,2014,314.1,422,21
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Referrals and Re-referrals,6643,211.8,888,13.4,226,3.4,2628,39.6,6248,199.2,821,13.1
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Referrals and Re-referrals,6759,251.8,1044,15.4,0,0,2657,39.3,6227,232,932,15
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Referrals and Re-referrals,3164,538.8,666,21,145,4.6,1163,36.8,2750,468.3,536,19.5
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Referrals and Re-referrals,6253,373.5,1006,16.1,189,3,1083,17.3,5789,345.8,899,15.5
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Referrals and Re-referrals,2748,511.5,511,18.6,521,19,649,23.6,2426,451.6,429,17.7
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Referrals and Re-referrals,2406,633,523,21.7,87,3.6,851,35.4,2175,572.2,441,20.3
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Referrals and Re-referrals,6352,431.8,1311,20.6,135,2.1,2392,37.7,5755,391.2,1152,20
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Referrals and Re-referrals,2203,499.7,442,20.1,75,3.4,1069,48.5,1988,450.9,379,19.1
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Referrals and Re-referrals,1780,639.6,402,22.6,225,12.6,411,23.1,1575,566,351,22.3
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Referrals and Re-referrals,3249,689.5,811,25,616,19,584,18,2800,594.3,664,23.7
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Referrals and Re-referrals,12157,983.6,4752,39.1,5958,49,1884,15.5,9503,768.9,3342,35.2
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Referrals and Re-referrals,3914,383.7,643,16.4,165,4.2,944,24.1,3598,352.7,579,16.1
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Referrals and Re-referrals,30502,1085,11807,38.7,4722,15.5,3822,12.5,23517,836.6,8166,34.7
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Referrals and Re-referrals,3870,1636.9,1608,41.6,783,20.2,975,25.2,2911,1231.3,1076,37
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Referrals and Re-referrals,22589,671.9,4915,21.8,200,0.9,6887,30.5,20068,596.9,4111,20.5
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Referrals and Re-referrals,4714,738.7,997,21.1,497,10.5,1808,38.4,4235,663.6,870,20.5
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Referrals and Re-referrals,3436,493.5,683,19.9,340,9.9,786,22.9,3085,443,595,19.3
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Referrals and Re-referrals,5203,355.4,1098,21.1,218,4.2,1766,33.9,4759,325.1,960,20.2
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Referrals and Re-referrals,2897,699.7,803,27.7,0,0,77,2.7,2522,609.1,651,25.8
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Referrals and Re-referrals,2843,783.2,713,25.1,179,6.3,1128,39.7,2464,678.8,584,23.7
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Referrals and Re-referrals,3417,781.7,690,20.2,10,0.3,1602,46.9,3021,691.1,570,18.9
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Referrals and Re-referrals,3747,759.8,853,22.8,534,14.3,750,20,3217,652.3,707,22
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Referrals and Re-referrals,7113,274,1229,17.3,348,4.9,1886,26.5,6575,253.3,1073,16.3
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Referrals and Re-referrals,2143,619.2,458,21.4,0,0,188,8.8,1931,558,403,20.9
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Referrals and Re-referrals,9598,548.8,2212,23,0,0,4513,47,8614,492.5,1961,22.8
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Referrals and Re-referrals,1969,580.4,421,21.4,76,3.9,27,1.4,1767,520.9,372,21.1
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Referrals and Re-referrals,1607,390.5,291,18.1,223,13.9,542,33.7,1458,354.3,251,17.2
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Referrals and Re-referrals,1070,299.3,151,14.1,31,2.9,280,26.2,991,277.2,133,13.4
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Referrals and Re-referrals,4238,578.1,1177,27.8,359,8.5,291,6.9,3757,512.5,990,26.4
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Referrals and Re-referrals,4035,440.5,909,22.5,658,16.3,985,24.4,3527,385,748,21.2
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Referrals and Re-referrals,7050,672.1,1647,23.4,0,0,1790,25.4,6196,590.7,1336,21.6
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Referrals and Re-referrals,6968,480.5,1842,26.4,654,9.4,2178,31.3,5983,412.5,1496,25
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Referrals and Re-referrals,2978,451,486,16.3,349,11.7,755,25.4,2735,414.2,430,15.7
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Referrals and Re-referrals,8824,693.6,2400,27.2,928,10.5,2815,31.9,7689,604.4,2005,26.1
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Referrals and Re-referrals,10,291.5,c,c,0,0,c,c,9,262.4,c,c
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Referrals and Re-referrals,1027,239.7,152,14.8,10,1,181,17.6,939,219.1,127,13.5
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Referrals and Re-referrals,2415,467.7,484,20,179,7.4,692,28.7,2212,428.4,419,18.9
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Referrals and Re-referrals,5259,480.5,1127,21.4,710,13.5,919,17.5,4706,430,969,20.6
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Referrals and Re-referrals,2228,376.2,399,17.9,0,0,921,41.3,2062,348.1,354,17.2
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Referrals and Re-referrals,2487,483.7,622,25,96,3.9,812,32.6,2208,429.5,508,23
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Referrals and Re-referrals,2125,843.8,480,22.6,94,4.4,518,24.4,1887,749.3,394,20.9
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Referrals and Re-referrals,3139,304.1,531,16.9,62,2,1068,34,2894,280.4,460,15.9
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Referrals and Re-referrals,2015,552.6,283,14,58,2.9,513,25.5,1877,514.7,256,13.6
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Referrals and Re-referrals,59,935,c,c,13,22,c,c,57,903.3,c,c
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Referrals and Re-referrals,4148,744.4,413,10,249,6,1770,42.7,3735,670.3,382,10.2
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Referrals and Re-referrals,1755,551.9,261,14.9,242,13.8,540,30.8,1625,511,221,13.6
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Referrals and Re-referrals,3456,636.2,620,17.9,233,6.7,1245,36,3145,579,542,17.2
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Referrals and Re-referrals,2166,592.9,348,16.1,91,4.2,707,32.6,2025,554.3,305,15.1
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Referrals and Re-referrals,1919,840.5,469,24.4,588,30.6,84,4.4,1698,743.7,395,23.3
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Referrals and Re-referrals,2952,543.9,401,13.6,259,8.8,732,24.8,2761,508.7,357,12.9
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Referrals and Re-referrals,4057,630,816,20.1,193,4.8,1661,40.9,3638,564.9,706,19.4
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Referrals and Re-referrals,5097,609.1,805,15.8,29,0.6,1142,22.4,4676,558.8,704,15.1
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Referrals and Re-referrals,3637,635.9,727,20,240,6.6,1534,42.2,3254,568.9,624,19.2
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Referrals and Re-referrals,4039,628.6,1035,25.6,343,8.5,690,17.1,3557,553.6,809,22.7
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Referrals and Re-referrals,2404,404.7,433,18,242,10.1,194,8.1,2171,365.5,373,17.2
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Referrals and Re-referrals,1837,602,347,18.9,178,9.7,766,41.7,1664,545.3,302,18.1
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Referrals and Re-referrals,5541,874.9,1444,26.1,734,13.2,2398,43.3,4800,757.9,1156,24.1
